"site","lat","long"
"LU21_09",56.58638,-112.06113
"LU21_98",56.51305,-111.87949
"LU21_119",56.57495,-112.000478
"LU21_52",56.53988,-111.93567
"LU21_59",56.56464,-111.58273
"LU21_68",56.63286,-111.71055
"LU21_109",56.56289,-111.90173
"LU21_93",56.56624,-111.84483
"LU21_114",56.55014,-111.73336
"LU21_105",56.55542,-111.68693
"LU21_100",56.53842,-111.90392
"LU21_74",56.51803,-111.86436
"LU21_78",56.52056,-111.82865
"LU21_153",56.55046,-111.78557
"LU21_06",56.51966,-111.67988
"LU21_116",56.55144,-111.63883
"LU21_97",56.57623,-111.59377
"LU01_13",54.60634,-110.72349
"LU01_30",54.73432,-110.82258
"LU01_85",54.73971,-110.71049
"LU01_66",54.70777,-110.72408
"LU01_76",54.70008,-110.70893
"LU01_73",54.67505,-110.70935
"LU01_75",54.68616,-110.69173
"LU01_47",54.61784,-110.48721
"LU01_74",54.66743,-110.26517
"LU01_44",54.59921,-110.47691
"LU01_41",54.5941,-110.29359
"LU01_64",54.69595,-110.31862
"LU01_86",54.73745,-110.34254
"LU01_79",54.70397,-110.33426
"LU01_63",54.69512,-110.38139
"LU01_72",54.65901,-110.41977
"LU01_67",54.75274,-110.55328
"LU01_77",54.70092,-110.53466
"LU01_32",54.74266,-110.54806
"LU01_36",54.72431,-110.53843
"LU01_84",54.72892,-110.50404
"LU01_25",54.6924,-110.549
"LU01_83",54.73326,-110.54852
"LU01_80",54.71254,-110.54085
"LU01_70",54.60699,-110.56893
"LU01_48",54.60776,-110.40762
"LU01_45",54.59816,-110.37065
"LU01_11",54.588892,-110.48226
"LU01_40",54.58176,-110.57063
"LU01_06",54.56253,-110.60829
"LU01_10",54.58592,-110.60129
"LU01_43",54.60861,-110.51104
"LU01_71",54.63866,-110.50838
"LU01_22",54.65007,-110.48788
"LU01_60",54.69043,-110.50311
"LU01_78",54.69755,-110.37038
"LU01_46",54.61668,-110.51263
"LU01_82",54.703959,-110.08388
"LU01_27",54.69098,-110.7394
"LU09_05",55.90594,-113.6983
"LU09_06",55.9047,-113.66641
"LU09_07",55.92035,-113.66419
"LU09_08",55.91551,-113.64588
"LU09_100",56.09786,-113.39996
"LU09_102",56.10159,-113.78246
"LU09_106",56.11124,-113.39658
"LU09_112",56.13584,-113.29684
"LU09_113",56.12781,-113.26157
"LU09_12",55.9281,-113.67606
"LU09_13",55.93486,-113.48714
"LU09_18",55.93893,-113.68761
"LU09_21",55.95748,-113.71101
"LU09_24",55.97636,-113.71067
"LU09_28",55.98742,-113.76594
"LU09_29",55.97969,-113.73471
"LU09_30",55.99221,-113.70862
"LU09_31",55.9869,-113.68733
"LU09_32",55.98812,-113.66647
"LU09_33",55.98748,-113.64686
"LU09_39",55.98985,-113.44392
"LU09_41",56.00175,-113.76165
"LU09_44",56.00827,-113.47067
"LU09_51",56.02089,-113.36845
"LU09_55",56.02372,-113.4966
"LU09_57",56.02872,-113.4364
"LU09_62",56.03572,-113.76742
"LU09_63",56.0298,-113.73437
"LU09_64",56.0397,-113.72797
"LU09_65",56.04187,-113.54919
"LU09_67",56.03918,-113.40793
"LU09_68",56.04655,-113.36591
"LU09_72",56.05514,-113.72662
"LU09_73",56.05505,-113.5569
"LU09_75",56.05522,-113.48314
"LU09_76",56.06062,-113.45915
"LU09_77",56.05704,-113.42562
"LU09_79",56.06759,-113.76394
"LU09_80",56.06609,-113.73965
"LU09_81",56.06139,-113.52341
"LU09_82",56.06802,-113.4772
"LU09_85",56.07789,-113.77494
"LU09_86",56.08713,-113.52008
"LU09_87",56.07875,-113.44093
"LU09_90",56.09386,-113.33807
"LU09_93",56.08794,-113.78278
"LU09_94",56.09827,-113.76354
"LU09_96",56.10025,-113.50814
"LU09_98",56.0985,-113.47141
"LU09_27",55.96937,-113.36397
"LU14_03",56.94589,-112.30953
"LU14_07",56.9571,-112.41011
"LU14_08",56.95589,-112.38725
"LU14_09",56.95599,-112.36073
"LU14_100",57.21349,-112.32694
"LU14_102",57.21218,-112.24976
"LU14_105",57.22642,-112.42336
"LU14_110",57.24136,-112.55234
"LU14_114",57.23443,-112.3881
"LU14_115",57.23761,-112.3089
"LU14_120",57.27318,-112.59342
"LU14_121",57.26169,-112.5294
"LU14_131",57.28914,-112.27245
"LU14_135",57.32076,-112.36021
"LU14_16",56.95922,-112.29803
"LU14_17",56.96855,-112.19186
"LU14_19",56.98159,-112.45065
"LU14_20",56.97155,-112.4352
"LU14_250",57.02059,-112.16242
"LU14_30",57.01174,-112.49358
"LU14_31",57.00264,-112.47708
"LU14_33",57.00923,-112.3383
"LU14_37",57.01992,-112.10431
"LU14_47",57.03347,-112.55693
"LU14_48",57.03131,-112.53831
"LU14_49",57.02781,-112.51659
"LU14_51",57.03178,-112.43441
"LU14_54",57.04813,-112.59723
"LU14_56",57.066,-112.44809
"LU14_61",57.056,-112.6067
"LU14_62",57.06214,-112.13075
"LU14_63",57.07264,-112.60155
"LU14_66",57.08591,-112.60819
"LU14_70",57.0854,-112.17182
"LU14_71",57.09972,-112.35362
"LU14_72",57.09985,-112.30749
"LU14_74",57.11259,-112.29683
"LU14_76",57.1339,-112.31454
"LU14_78",57.14869,-112.39216
"LU14_80",57.15258,-112.14778
"LU14_84",57.16385,-112.20978
"LU14_85",57.17165,-112.5036
"LU14_86",57.16994,-112.28728
"LU14_88",57.19172,-112.46383
"LU14_91",57.18819,-112.12025
"LU14_92",57.19552,-112.49829
"LU14_96",57.19223,-112.2138
"LU14_97",57.21857,-112.54814
"LU14_75",57.13144,-112.51261
"LU16_02",57.20954,-111.00751
"LU16_03",57.21346,-110.98463
"LU16_15",57.25314,-111.0137
"LU16_20",57.26106,-110.98528
"LU16_200",57.34407,-111.16485
"LU16_201",57.32199,-111.22929
"LU16_202",57.31378,-111.238
"LU16_203",57.29753,-111.26814
"LU16_22",57.26844,-111.04905
"LU16_23",57.26954,-110.99068
"LU16_24",57.28073,-110.98764
"LU16_25",57.30696,-111.10987
"LU16_26",57.31717,-111.11306
"LU16_270",57.51564,-111.50916
"LU16_28",57.33581,-111.19855
"LU16_300",57.21725,-111.02139
"LU16_301",57.23484,-111.04526
"LU16_302",57.24204,-111.01058
"LU16_303",57.23633,-111.02443
"LU16_313",57.28475,-111.09251
"LU16_314",57.25639,-111.06755
"LU16_36",57.33492,-111.22568
"LU16_37",57.33694,-111.18068
"LU16_49",57.47615,-111.53667
"LU16_52",57.49052,-111.50633
"LU16_54",57.49797,-111.45538
"LU16_55",57.49791,-111.4763
"LU16_57",57.50681,-111.43999
"LU16_58",57.51048,-111.42342
"LU16_60",57.52402,-111.40755
"LU16_62",57.52477,-111.37714
"LU16_63",57.52407,-111.1943
"LU16_67",57.51599,-111.18156
"LU16_68",57.53948,-111.26984
"LU16_69",57.53521,-111.30865
"LU16_70",57.53098,-111.23334
"LU16_71",57.54227,-111.24512
"LU16_72",57.55765,-111.47166
"LU16_73",57.55149,-111.40896
"LU16_74",57.54376,-111.40054
"LU16_75",57.53541,-111.37523
"LU16_77",57.54812,-111.30955
"LU16_80",57.53865,-111.32841
"LU16_81",57.53815,-111.29247
"LU16_83",57.55526,-111.43022
"LU16_84",57.55958,-111.41671
"LU16_85",57.55818,-111.39724
"LU16_88",57.54219,-111.34637
"LU22_110",57.08053,-115.04659
"LU22_48",56.93743,-114.96295
"LU22_107",57.07735,-114.94152
"LU22_49",56.93194,-114.93654
"LU22_103",57.06662,-114.8876
"LU22_44",56.9196,-114.85827
"LU22_21",56.87619,-114.8343
"LU22_15",56.85429,-114.83213
"LU22_50",56.93489,-114.81908
"LU22_38",56.92197,-114.78486
"LU22_22",56.87814,-114.7846
"LU22_85",57.02431,-114.76451
"LU22_33",56.8931,-114.76378
"LU22_34",56.902,-114.75753
"LU22_11",56.8379,-114.75189
"LU22_29",56.88538,-114.74471
"LU22_86",57.01931,-114.73642
"LU22_80",57.00723,-114.73636
"LU22_17",56.86489,-114.73563
"LU22_35",56.89601,-114.73399
"LU22_63",56.97141,-114.72468
"LU22_30",56.88089,-114.72423
"LU22_04",56.82068,-114.7117
"LU22_36",56.90241,-114.70744
"LU22_76",56.99687,-114.69523
"LU22_05",56.82219,-114.68971
"LU22_87",57.01786,-114.6878
"LU22_25",56.8749,-114.66645
"LU22_89",57.02902,-114.65743
"LU22_18",56.86026,-114.64916
"LU22_32",56.88297,-114.62615
"LU22_08",56.83722,-114.62565
"LU22_06",56.81301,-114.62326
"LU22_81",57.01878,-114.62211
"LU22_07",56.82454,-114.61899
"LU22_69",56.99216,-114.6179
"LU22_70",56.99237,-114.56931
"LU22_82",57.00713,-114.55493
"LU22_94",57.03572,-114.55388
"LU22_101",57.0512,-114.53072
"LU22_71",56.99336,-114.52732
"LU22_77",56.99992,-114.50988
"LU22_72",56.99256,-114.49997
"LU22_65",56.9833,-114.48563
"LU22_60",56.97107,-114.44941
"LU22_61",56.96989,-114.41562
"LU22_53",56.95738,-114.40262
"LU22_46",56.9445,-114.39758
"LU22_40",56.92592,-114.38989
"LU22_47",56.93777,-114.38641
