"model","R2_conditional","R2_marginal"
"linear_males",0.9037389389228,0.413375489291404
"polygonal_males",0.898250285254525,0.383772298364483
"linear_females",0.867838605992544,0.537972256108455
"polygonal_females",0.85878734671572,0.493305095449118
"linear_young",0.951072640836106,0.487828442751822
"polygonal_young",0.948249408407344,0.437719331141534
