"model_name","df","statistic","p.value"
"linear_males",1,16.3201934273304,5.34908897439482e-05
"polygonal_males",1,14.0765812544344,0.000175515552887631
"linear_females",1,11.5371471125873,0.000682192443418605
"polygonal_females",1,22.7793026602494,1.81712176786781e-06
"linear_young",1,23.9312162210447,9.98396637188819e-07
"polygonal_young",1,26.6305468585813,2.46318366064265e-07
