"year","array","site","lat","long","n_weeks","deer_present","predator_detections","n_young","n_female","n_male","PC1","PC2","disturbance_index","linear_index","polygonal_index","roads","wells","well_gas","well_oil","well_bitumen","inactive_well","seismic","seismic_3D","harvest","pipeline","winter_year","mean_snow_lag1","mean_min_temp","winter_year_lag2","mean_snow_lag2","winter_year_lag3","mean_snow_lag3","mean_snow_temporal","mean_min_temp_temporal","mean_snow_spatial","mean_min_temp_spatial","snow_anomaly","temp_anomaly","predator_index"
2022,"LU01","LU01_06",-1.93195258019725,-110.60829,15,5,17,3,2,1,2.45392266850992,-0.22938168346505,-0.630238269836653,-0.501238888764388,-0.525400142952091,0.012552871,0.014001845,0,0,0.012338647,0,0.005202891,0,0,0.015044895,2021,2.37803896593108,-11.7600943396226,2020,0.00764129502356403,2019,-1.32481168925738,38.0779451513822,-12.7932833479596,-0.494693011008887,-10.6177028547195,2.36498845805766,-1.14239148490318,0.832488457495302
2023,"LU01","LU01_06",-1.93195258019725,-110.60829,14,6,9,4,1,3,2.45392266850992,-0.22938168346505,-0.630238269836653,-0.501238888764388,-0.525400142952091,0.012552871,0.014001845,0,0,0.012338647,0,0.005202891,0,0,0.015044895,2022,-0.375336637862724,-11.1592924528302,2021,2.21282079396676,2020,-0.294292061837704,13.6092764370338,-11.9164168494954,-0.53012035360186,-10.8875574396332,-0.0807519837075287,-0.271735013197009,0.170699994429328
2022,"LU01","LU01_10",-1.90521930634709,-110.60129,15,14,8,0,11,8,1.47564596566618,-0.330448451555369,-0.187463381941828,-0.0654831185851284,-0.1832382162904,0.028499614,0.007707939,0,0,0.007707939,0.021683632,0.00329875,0,2.52e-05,0.022958831,2021,2.49873990127731,-11.8292924528302,2020,0.0414073059210214,2019,-1.23495562294157,38.0779451513822,-12.7932833479596,-0.367185442284634,-10.7022699336636,2.41162333874148,-1.12702251916655,0.0229219881136237
2022,"LU01","LU01_11",-1.90182250045215,-110.48226,15,10,3,9,4,2,2.88110901230672,0.991009812598662,0.69534782450935,0.260621711162282,0.673959266519667,0.052974485,0.082835057,0,0,0.079283668,0.011570708,0.001788567,0.000996342000000001,0,0.013412347,2021,2.46640069929381,-11.8077358490566,2020,0.0059349834116772,2019,-1.31129772889882,38.0779451513822,-12.7932833479596,-0.452659057196493,-10.6378827455314,2.42380735666658,-1.16985310352518,-0.426837161542866
2023,"LU01","LU01_11",-1.90182250045215,-110.48226,14,10,7,1,6,3,2.88110901230672,0.991009812598662,0.69534782450935,0.260621711162282,0.673959266519667,0.052974485,0.082835057,0,0,0.079283668,0.011570708,0.001788567,0.000996342000000001,0,0.013412347,2022,-0.30705581057393,-11.1333018867925,2021,2.30566671761627,2020,-0.296474402629132,13.6092764370338,-11.9164168494954,-0.473549742233104,-10.9044483886756,-0.0468862892449986,-0.228853498116862,-0.0220539268520248
2022,"LU01","LU01_13",-1.8818805525198,-110.72349,15,11,15,6,8,1,3.19696542840748,0.275152282956551,-0.805648873140587,-0.630069672959159,-0.675074133550322,0.010412159,0,0,0,0,0.008049565,0.01592892,0,0,0,2021,2.54299978422296,-11.8026886792453,2020,0.0372931990345871,2019,-1.25000689837823,38.0779451513822,-12.7932833479596,-0.39268062311291,-10.7116956245397,2.46347433208636,-1.09099305470558,0.65258479763271
2023,"LU01","LU01_13",-1.8818805525198,-110.72349,14,12,3,10,6,2,3.19696542840748,0.275152282956551,-0.805648873140587,-0.630069672959159,-0.675074133550322,0.010412159,0,0,0,0,0.008049565,0.01592892,0,0,0,2022,-0.341435068835377,-11.1031603773585,2021,2.38615306074581,2020,-0.256367828528865,13.6092764370338,-11.9164168494954,-0.428592956463547,-10.9693495555586,-0.0992598875689031,-0.133810821799855,-0.407561769414731
2022,"LU01","LU01_22",-1.83189995972514,-110.48788,15,10,18,2,4,4,0.691370841174604,0.489927610332463,0.704382110921259,0.406779931741654,0.636680754729343,0.040280045,0.035731992,0,0,0.028045681,0.014125445,0.009246869,0.011259277,0,0.012447273,2021,2.63144053384997,-11.8393867924528,2020,0.0424197174774144,2019,-1.30190089048385,38.0779451513822,-12.7932833479596,-0.404571944943272,-10.6573523331574,2.54830024847295,-1.18203445929548,0.922440287426604
2023,"LU01","LU01_22",-1.83189995972514,-110.48788,14,2,8,0,0,2,0.691370841174604,0.489927610332463,0.704382110921259,0.406779931741654,0.636680754729343,0.040280045,0.035731992,0,0,0.028045681,0.014125445,0.009246869,0.011259277,0,0.012447273,2022,-0.235578416229909,-11.0027358490566,2021,2.47908201058507,2020,-0.249811106862169,13.6092764370338,-11.9164168494954,-0.413860661832252,-10.9135122716333,-0.0116612829479664,-0.0892235774233416,0.074323033788651
2022,"LU01","LU01_25",-1.78351947737896,-110.549,15,11,12,2,3,9,1.04400382404867,1.05642274885148,0.0609761304925094,-0.135338267998858,0.110107568363018,0.037249763,0.046790496,0,0,0.046790496,0.007918347,0.005128732,0,0.030089227,0.009666275,2021,2.63238154572466,-11.8170283018868,2020,0.0340701659899089,2019,-1.33893577153756,38.0779451513822,-12.7932833479596,-0.447632189776779,-10.6449404908501,2.56985255148248,-1.17208781103673,0.382729307838816
