"year","array","site","lat","long","n_weeks","deer_present","predator_detections","n_young","n_female","n_male","PC1","PC2","disturbance_index","linear_index","polygonal_index","roads","wells","well_gas","well_oil","well_bitumen","inactive_well","seismic","seismic_3D","harvest","pipeline","winter_year","mean_snow","mean_min_temp","winter_year_lag2","mean_snow_lag2","winter_year_lag3","mean_snow_lag3","mean_snow_temporal","mean_min_temp_temporal","mean_snow_spatial","mean_min_temp_spatial","snow_anomaly","temp_anomaly","predator_index"
2022,"LU01","LU01_27",54.69098,-110.7394,15,8,25,4,5,2,1.52937584262188,-0.30265121348769,0.587369871,0.212583354,0.374786517,0.067451811,0.001733194,0,0,0.001654794,0.022583903,0.004044826,0,0,0.094252322,2021,58.9908018867925,-11.7820283018868,2020,27.4010900473934,2019,17.1084037558685,38.0779451513822,-12.7932833479596,24.5137017962413,-10.6871464720569,34.4771000905511,-1.09488182982989,1.66666666666667
2023,"LU01","LU01_27",54.69098,-110.7394,14,8,6,3,5,4,1.52937584262188,-0.30265121348769,0.587369871,0.212583354,0.374786517,0.067451811,0.001733194,0,0,0.001654794,0.022583903,0.004044826,0,0,0.094252322,2022,19.9600943396226,-10.8519811320755,2021,58.9908018867925,2020,27.4010900473934,13.6092764370338,-11.9164168494954,24.3778631681319,-10.9272625544863,-4.41776882850925,0.075281422410832,0.428571428571429
2022,"LU01","LU01_30",54.73432,-110.82258,15,5,9,2,1,1,1.25067690656883,0.485967848520115,0.1202665,0.046077019,0.074189481,0.022253687,0,0,0,0,0.00160401,0.010563312,0,0.016114483,0.006868552,2021,53.9480188679245,-11.725,2020,27.0563033175355,2019,16.3672769953052,38.0779451513822,-12.7932833479596,23.729393356418,-10.6299978418442,30.2186255115065,-1.09500215815581,0.6
2023,"LU01","LU01_30",54.73432,-110.82258,14,7,3,2,1,2,1.25067690656883,0.485967848520115,0.1202665,0.046077019,0.074189481,0.022253687,0,0,0,0,0.00160401,0.010563312,0,0.016114483,0.006868552,2022,20.3535849056604,-10.703679245283,2021,53.9480188679245,2020,27.0563033175355,13.6092764370338,-11.9164168494954,23.6743884844187,-10.8631278799344,-3.32080357875837,0.159448634651348,0.214285714285714
2022,"LU01","LU01_32",54.74266,-110.54806,15,8,6,0,1,6,1.17186273471032,-0.330117986033327,0.446636161,0.085335751,0.36130041,0.055858187,0.040523116,0,0,0.040523116,0.006722617,0.008163828,0,0.037631567,0.020059903,2021,60.3435377358491,-11.8792452830189,2020,28.0341232227488,2019,17.3304225352113,38.0779451513822,-12.7932833479596,25.1082509500599,-10.7321573437465,35.2352867857892,-1.14708793927234,0.4
2023,"LU01","LU01_32",54.74266,-110.54806,14,3,23,0,2,2,1.17186273471032,-0.330117986033327,0.446636161,0.085335751,0.36130041,0.055858187,0.040523116,0,0,0.040523116,0.006722617,0.008163828,0,0.037631567,0.020059903,2022,21.1091509433962,-10.777641509434,2021,60.3435377358491,2020,28.0341232227488,13.6092764370338,-11.9164168494954,25.0977469598522,-10.9644141262943,-3.98859601645599,0.186772616860335,1.64285714285714
2022,"LU01","LU01_36",54.72431,-110.53843,15,5,6,0,2,4,-0.74865426391553,-0.188984838843866,0.228232681,0.068550231,0.15968245,0.035433962,0.031997931,0,0,0.031997931,0.016030125,0.008534741,0.004317417,0.022033897,0.01874318,2021,59.7359433962264,-11.8769811320755,2020,27.9411848341232,2019,17.296103286385,38.0779451513822,-12.7932833479596,25.0522843050215,-10.7195984627984,34.6836590912049,-1.15738266927703,0.4
2023,"LU01","LU01_36",54.72431,-110.53843,14,3,16,0,0,3,-0.74865426391553,-0.188984838843866,0.228232681,0.068550231,0.15968245,0.035433962,0.031997931,0,0,0.031997931,0.016030125,0.008534741,0.004317417,0.022033897,0.01874318,2022,21.0240566037736,-10.8281132075472,2021,59.7359433962264,2020,27.9411848341232,13.6092764370338,-11.9164168494954,25.0389313628977,-10.9572374355716,-4.01487475912409,0.12912422802445,1.14285714285714
2022,"LU01","LU01_40",54.58176,-110.57063,15,5,9,0,3,2,1.06119361188303,-1.00453287705646,0.35017207,0.088966866,0.261205204,0.053248151,0.089141133,0,0,0.058993057,0.013851152,0.007431177,0,0,0.024804223,2021,55.9444339622641,-11.8253773584906,2020,27.3451184834123,2019,17.4941784037559,38.0779451513822,-12.7932833479596,24.6584575110177,-10.6879816274046,31.2859764512465,-1.13739573108594,0.6
2023,"LU01","LU01_40",54.58176,-110.57063,11,5,6,2,3,1,1.06119361188303,-1.00453287705646,0.35017207,0.088966866,0.261205204,0.053248151,0.089141133,0,0,0.058993057,0.013851152,0.007431177,0,0,0.024804223,2022,19.5240094339623,-11.1671698113208,2021,55.9444339622641,2020,27.3451184834123,13.6092764370338,-11.9164168494954,24.5037558505115,-10.9531746149468,-4.9797464165492,-0.213995196373954,0.545454545454545
2022,"LU01","LU01_41",54.5941,-110.29359,15,15,10,5,7,13,2.72469656897918,1.41625049571063,0.217953173,0.028653653,0.18929952,0.019565403,0,0,0,0,0.001891839,0.0034548,0,0.079891113,0.003183573,2021,56.9549056603774,-11.8567452830189,2020,27.3577251184834,2019,17.1221596244131,38.0779451513822,-12.7932833479596,24.5227884182171,-10.6512858095574,32.4321172421602,-1.20545947346151,0.666666666666667
2023,"LU01","LU01_41",54.5941,-110.29359,14,11,1,5,3,4,2.72469656897918,1.41625049571063,0.217953173,0.028653653,0.18929952,0.019565403,0,0,0,0,0.001891839,0.0034548,0,0.079891113,0.003183573,2022,20.4126886792453,-11.133820754717,2021,56.9549056603774,2020,27.3577251184834,13.6092764370338,-11.9164168494954,24.4574801334024,-10.9176766848261,-4.04479145415716,-0.216144069890854,0.0714285714285714
2022,"LU01","LU01_43",54.60861,-110.51104,15,7,8,1,5,2,0.592814901195839,-0.391471325732984,0.554635399,0.173713424,0.380921975,0.084815405,0.0837926740000001,0,0,0.0837926740000001,0.006561569,0.001533094,0.004149723,0,0.046117536,2021,55.9204245283019,-11.8052358490566,2020,26.9923696682464,2019,17.0036150234742,38.0779451513822,-12.7932833479596,24.2346432427902,-10.6336495867893,31.6857812855117,-1.17158626226725,0.533333333333333
2023,"LU01","LU01_43",54.60861,-110.51104,14,6,7,2,1,5,0.592814901195839,-0.391471325732984,0.554635399,0.173713424,0.380921975,0.084815405,0.0837926740000001,0,0,0.0837926740000001,0.006561569,0.001533094,0.004149723,0,0.046117536,2022,19.3178301886792,-11.093820754717,2021,55.9204245283019,2020,26.9923696682464,13.6092764370338,-11.9164168494954,24.1029735160248,-10.8978552294503,-4.78514332734557,-0.195965525266635,0.5
