"","PC1","PC2","PC3","PC4","PC5","PC6"
"water",0.257058523297922,0.170725126159544,0.321534936108027,-0.752405366827122,0.467510670787732,0.12926356187671
"broadleaf",0.554615915482873,-0.20696567434312,0.220101365481716,-0.0606497553715863,-0.609713250382118,0.475071725460183
"grassland",-0.0990009590750046,-0.256361385743589,-0.806947562839847,-0.481926081480698,-0.11809481900484,0.164663737785711
"coniferous",-0.687906261909698,-0.114508670890344,0.262474800663894,-0.0166680174618149,0.0285415522973281,0.666098547603246
"mixed",0.339083483267613,-0.486524254851872,-0.144282528379741,0.382962971726658,0.62209454533474,0.306327980718924
"shrub",0.16831006564001,0.782610308245994,-0.327560430489887,0.225868463075192,0.0889994111750957,0.439271594582648
