"array","year","site","n_weeks","deer_present","wolf_present"
"LU22",2024,"LU22_11",13,1,0
"LU22",2024,"LU22_110",13,5,0
"LU22",2024,"LU22_15",13,1,0
"LU22",2024,"LU22_17",13,2,0
"LU22",2024,"LU22_18",13,1,0
"LU22",2024,"LU22_21",13,1,0
"LU22",2024,"LU22_22",13,0,0
"LU22",2024,"LU22_25",13,2,0
"LU22",2024,"LU22_29",13,2,0
"LU22",2024,"LU22_30",13,1,0
"LU22",2024,"LU22_32",13,1,1
"LU22",2024,"LU22_33",13,2,0
"LU22",2024,"LU22_34",13,2,0
"LU22",2024,"LU22_35",13,0,0
"LU22",2024,"LU22_36",13,0,0
"LU22",2024,"LU22_40",13,0,0
"LU22",2024,"LU22_44",13,3,0
"LU22",2024,"LU22_46",13,2,0
"LU22",2024,"LU22_47",13,5,0
"LU22",2024,"LU22_48",13,6,0
"LU22",2024,"LU22_49",13,5,0
"LU22",2024,"LU22_50",13,4,0
"LU22",2024,"LU22_53",13,1,0
"LU22",2024,"LU22_60",13,1,0
"LU22",2024,"LU22_61",13,0,0
"LU22",2024,"LU22_63",13,0,0
"LU22",2024,"LU22_65",13,0,0
"LU22",2024,"LU22_69",14,1,0
"LU22",2024,"LU22_70",13,8,0
"LU22",2024,"LU22_71",13,4,0
"LU22",2024,"LU22_72",13,4,0
"LU22",2024,"LU22_76",13,1,0
"LU22",2024,"LU22_77",13,1,1
"LU22",2024,"LU22_80",13,0,0
"LU22",2024,"LU22_81",13,0,0
"LU22",2024,"LU22_82",13,0,0
"LU22",2024,"LU22_85",13,3,0
"LU22",2024,"LU22_86",13,0,0
"LU22",2024,"LU22_87",13,1,1
"LU22",2024,"LU22_89",13,1,0
"LU22",2024,"LU22_94",13,0,0
