"array","year","site","n_weeks","deer_present","wolf_present"
"LU03",2021,"LU03_20",12,5,0
"LU03",2021,"LU03_21",12,8,0
"LU03",2021,"LU03_25",12,5,0
"LU03",2021,"LU03_27",11,8,0
"LU03",2021,"LU03_28",12,9,0
"LU03",2021,"LU03_32",12,10,0
"LU03",2021,"LU03_36",11,4,0
"LU03",2021,"LU03_38",12,0,0
"LU03",2021,"LU03_39",11,2,0
"LU03",2021,"LU03_40",11,3,0
"LU03",2021,"LU03_41",11,3,0
"LU03",2021,"LU03_44",11,7,0
"LU03",2021,"LU03_45",12,3,0
"LU03",2021,"LU03_46",12,4,0
"LU03",2021,"LU03_48",12,1,0
"LU03",2021,"LU03_49",12,6,0
"LU03",2021,"LU03_50",12,7,0
"LU03",2021,"LU03_51",12,11,0
"LU03",2021,"LU03_52",12,8,0
"LU03",2022,"LU03_05",1,1,0
"LU03",2022,"LU03_102",1,0,0
"LU03",2022,"LU03_103",1,0,0
"LU03",2022,"LU03_13",1,1,0
"LU03",2022,"LU03_131",1,0,0
"LU03",2022,"LU03_15",1,0,0
"LU03",2022,"LU03_17",1,1,0
"LU03",2022,"LU03_18",1,0,0
"LU03",2022,"LU03_19",1,0,0
"LU03",2022,"LU03_48",1,0,0
"LU09",2023,"LU09_05",2,0,0
"LU09",2023,"LU09_06",2,0,0
"LU09",2023,"LU09_07",2,1,0
"LU09",2023,"LU09_08",2,1,0
"LU09",2023,"LU09_100",2,0,0
"LU09",2023,"LU09_102",2,1,0
"LU09",2023,"LU09_106",2,0,0
"LU09",2023,"LU09_112",2,0,0
"LU09",2023,"LU09_113",2,0,0
"LU09",2023,"LU09_12",2,1,0
"LU09",2023,"LU09_13",2,0,0
"LU09",2023,"LU09_18",2,2,0
"LU09",2023,"LU09_21",2,1,0
"LU09",2023,"LU09_24",2,0,0
"LU09",2023,"LU09_27",2,1,0
"LU09",2023,"LU09_28",2,1,0
"LU09",2023,"LU09_29",2,2,0
"LU09",2023,"LU09_30",2,0,0
"LU09",2023,"LU09_31",2,1,0
"LU09",2023,"LU09_32",2,2,0
"LU09",2023,"LU09_33",2,1,0
"LU09",2023,"LU09_39",2,1,0
"LU09",2023,"LU09_41",2,0,0
"LU09",2023,"LU09_44",2,0,0
"LU09",2023,"LU09_51",2,0,0
"LU09",2023,"LU09_55",2,1,0
"LU09",2023,"LU09_57",2,0,0
"LU09",2023,"LU09_62",2,2,0
"LU09",2023,"LU09_63",2,2,0
"LU09",2023,"LU09_64",2,2,0
"LU09",2023,"LU09_65",2,0,0
"LU09",2023,"LU09_67",2,0,0
"LU09",2023,"LU09_68",2,0,0
"LU09",2023,"LU09_72",2,1,0
"LU09",2023,"LU09_73",2,1,0
"LU09",2023,"LU09_75",2,0,0
